course_id,course_name,participants,num_reviews,price,revenue,satisfaction,program_cost,ROI,subject,revenue_per_participant
937678,Tableau 2020 A-Z: Hands-On Tableau Training for Data Science,209070,54581,5.0,1046395.35,4.59,659382.1471967341,0.5869330925148571,Big Data & KI,5.005
1208634,Microsoft Power BI - A Complete Introduction [2020 EDITION],124180,38093,5.0,621520.9,4.56,263066.85252666124,1.3625967849256502,Software- & Systementwicklung,5.005
1570206,Microsoft Power BI - Up & Running With Power BI Desktop,86715,23580,5.0,434008.58,4.62,204356.1311092211,1.1237854604324928,Software- & Systementwicklung,5.005000057660151
1405632,SQL - MySQL for Data Analytics and Business Intelligence,78968,21436,5.0,395234.84,4.57,167253.54246619783,1.363088005026127,Big Data & KI,5.005
1202988,The Complete Financial Analyst Training & Investing Course,182002,21421,5.0,910920.01,4.5,438674.43607012794,1.0765285940992864,Big Data & KI,5.005
996228,The Ultimate Hands-On Hadoop - Tame your Big Data!,114945,21394,5.0,575299.72,4.51,286819.1705474244,1.0057924262941709,Big Data & KI,5.004999956500935
980086,Deep Learning Prerequisites: The Numpy Stack in Python (V2+),239309,18322,5.0,1197741.54,4.47,767497.1813858313,0.5605810275906133,Software- & Systementwicklung,5.004999979106511
1035472,Python for Finance: Investment Fundamentals & Data Analytics,83072,17617,5.0,415775.36,4.52,174792.38534972077,1.3786811946534498,Big Data & KI,5.005
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,67329,17016,5.0,336981.64,4.56,205780.2013953031,0.6375804752599079,Software- & Systementwicklung,5.0049999257377955
946654,Write Better Emails: Tactics for Smarter Team Communication,50037,15956,5.0,250435.18,4.43,150401.44366112954,0.6651115435052413,Software- & Systementwicklung,5.004999900073945
196152,Writing With Flair: How To Become An Exceptional Writer,102727,12478,5.0,514148.64,4.55,338300.9293098264,0.5197967119065371,Software- & Systementwicklung,5.005000048672696
203556,SQL for Data Analysis: Weekender Crash Course for Beginners,59141,11660,5.0,296000.7,4.34,194312.07040290124,0.5233263656048228,Big Data & KI,5.004999915456283
563478,Sales Training: Practical Sales Techniques,38698,11529,5.0,193683.49,4.58,111335.36573051814,0.7396403086221632,Big Data & KI,5.005
736456,Ninja Writing: The Four Levels Of Writing Mastery,85042,11007,5.0,425635.21,4.42,184032.17742478827,1.312830375405149,Software- & Systementwicklung,5.005
946194,Tableau 20 Advanced Training: Master Tableau in Data Science,63084,10979,5.0,315735.42,4.63,141475.26821568495,1.2317357936982185,Big Data & KI,5.005
552372,Email Etiquette: Write More Effective Emails At Work,33319,10470,5.0,166761.6,4.38,93599.38863939223,0.7816526627377642,Software- & Systementwicklung,5.005000150064528
1411586,"CAPM Exam Prep Seminar - PMBOK Guide, Sixth Edition",29061,10102,5.0,145450.3,4.57,67071.43180189794,1.168587967968266,Software- & Systementwicklung,5.004999827948109
1340842,Robotic Process Automation - RPA Overview,28937,10059,5.0,144829.68,4.36,61912.459189466725,1.3392655031968124,Fertigungstechnik,5.004999827210837
1007240,Power BI A-Z: Hands-On Power BI Training For Data Science!,72406,9631,5.0,362392.03,4.47,146696.9112351961,1.4703453327588092,Big Data & KI,5.005000000000001
419658,eBay Drop Shipping Guide with No Inventory - Work From Home,39816,9195,5.0,199279.08,4.41,122067.71312402487,0.6325289865758834,Software- & Systementwicklung,5.005
1594488,Blockchain A-Z™: Learn How To Build Your First Blockchain,47394,9081,5.0,237206.97,4.59,112714.02440247759,1.1045027116855026,Big Data & KI,5.005
687720,Six Sigma White Belt,32818,8925,5.0,164254.09,4.41,75606.64927575819,1.1724820710003994,Qualitätssicherung,5.005
536482,Security Awareness Training,16511,8915,5.0,82637.55,4.52,51801.786568930846,0.5952644778001445,Software- & Systementwicklung,5.004999697171582
555696,PMP EXAM PREP-Project Management Professional FULL TRAINING,39537,7693,5.0,197882.68,4.44,95263.2528631487,1.0772194319699557,Big Data & KI,5.004999873536181
1346444,UiPath - Level 1 Robotic Process Automation,29095,7641,5.37,156181.96,4.43,87235.37649939378,0.7903511885580655,Fertigungstechnik,5.367999999999999
1030316,Business Model Innovation: Differentiate & Grow Your Company,22558,6797,5.0,112902.79,4.54,51593.77765447671,1.1883024491075156,Innovationsmanagement,5.005
468172,Complete Introduction to Microsoft Power BI [2020 Edition],26929,6471,5.0,134779.64,4.51,83844.3063802809,0.6074990159582075,Software- & Systementwicklung,5.004999814326563
1355158,"Creativity, Design Thinking, and Innovation for Business",16778,6325,5.0,83973.89,4.33,38417.60206047425,1.1858181014997835,Software- & Systementwicklung,5.005
640100,Accounting & Financial Statement Analysis: Complete Training,37953,6195,5.0,189954.76,4.57,85743.22350806327,1.2153909338635573,Big Data & KI,5.004999868258109
1245422,Master SQL For Data Science,25039,6088,5.0,125320.2,4.62,67433.9744445686,0.8584133744484312,Big Data & KI,5.005000199688486
1758098,How to tell a story with data,15059,6075,5.0,75370.3,4.36,45230.83817574022,0.666347630065039,Software- & Systementwicklung,5.005000332027359
613946,Google Analytics for Beginners | Hands-On Training Course,26292,5761,5.0,131591.46,4.45,65807.04859675777,0.999656006552516,Big Data & KI,5.005
1659676,The Complete Digital Marketing Guide - 18 Courses in 1,25820,5763,5.0,129229.1,4.51,84373.02199806312,0.531640054364375,Software- & Systementwicklung,5.005
1242944,Data Analysis Essentials Using Excel,42583,5506,5.0,213127.92,4.56,85370.50162584435,1.4965054198004086,Big Data & KI,5.005000117417749
